"id","nama_agency","pagu","hps","harga_penawaran","nama_pemenang","pemenang_2","harga_penawaran_2",cluster
6018011,'Badan Kepegawaian Negara',239500000,239500000,199650000,'CV. YOGI LESTARI','CV. SUHADA ADIL &CO',220550000,C0
6018011,'Badan Kepegawaian Negara',239500000,239500000,199650000,'CV. YOGI LESTARI','CV.CIPTA UTAMA KARYA',228800000,C0
6019011,'Badan Pemeriksa Keuangan RI',294807,294807,269562,'pt.jolundra putra','PT. AYU MUSTIKA RIZKI',270825,C0
6023011,'Kementerian Sekretariat Negara',1014000000,1012265372,916433100,'CV. ZONA INTERMEDIA','CV. INSANI CIPTA SOLUSI',985435000,C0
6023011,'Kementerian Sekretariat Negara',1014000000,1012265372,916433100,'CV. ZONA INTERMEDIA','PT. Agra Sinatama Sakti',941380000,C0
6023011,'Kementerian Sekretariat Negara',1014000000,1012265372,916433100,'CV. ZONA INTERMEDIA','PT. LOKACIPTA SOLUSINDO',1010240000,C0
6023011,'Kementerian Sekretariat Negara',1014000000,1012265372,916433100,'CV. ZONA INTERMEDIA','PT. SISMA NUSA MANDIRI',996422570,C0
6023011,'Kementerian Sekretariat Negara',1014000000,1012265372,916433100,'CV. ZONA INTERMEDIA','PT.Global Sarana Informatika',925497870,C0
6024011,'Direktorat Jenderal Kekayaan Negara',380800000,374330000,0,'PT Malloci Software Solution','PT. Adfinbureau Indonesia',331270500,C0
6030011,'Lembaga Sandi Negara',4650000,4650000,4644869,'PT JALA WIRA WASKITA','PT. Berdikari Mandala Pratama',4648499,C0
6031011,'LPSE Kementerian Keuangan Jawa Barat',278038,277057,1782832200,'PT. Pura Barutama','PT Macananjaya Cemerlang',1792255023,C0
6032011,'Komisi Pemberantasan Korupsi',180000000,175000000,163043100,'PT. Agra Sinergi Selaras','PT Brainmatics Cipta Informatika',165000000,C0
6038011,'Agency Kementerian Keuangan Gorontalo',271857000,271857000,251295000,'NU ACCES','CV. ANGGRAINI',270764000,C0
6043011,'Badan Pendidikan dan Pelatihan Keuangan',348150000,332325000,287223750,'PT. Intirasa Boga Utama','PT. Permata Lido',303048750,C0
6045011,'LPSE Kementerian Keuangan Banten',314000000,311682800,279877400,'CV. Nirwana Indah','CV. Karya Nugraha',288266176,C0
6045011,'LPSE Kementerian Keuangan Banten',314000000,311682800,279877400,'CV. Nirwana Indah','roland putra perdana',292985000,C0
6046011,'Sekretariat Presiden Jakarta',822950000,818746500,817841582,'CV. Florin\'s Pondok Bunga','ELDADI USAHA FLORA',818195940,C0
6048011,'Direktorat Jenderal Pajak',1750000000,1480581798,935504504,'CV. Titipan Ekspres Indonesia','CV. Agung Makmur',960859429,C0
6048011,'Direktorat Jenderal Pajak',1750000000,1480581798,935504504,'CV. Titipan Ekspres Indonesia','PT BINABAR GRAFISCONT',1400526204,C0
6049011,'LPSE Kementerian Keuangan Ambon',1299999892,1299999892,1258185000,'CV. TUNGGAL JAYA','CV. Krida Bangun Persada',1299179000,C0
6049011,'LPSE Kementerian Keuangan Ambon',1299999892,1299999892,1258185000,'CV. TUNGGAL JAYA','CV. SINAR KASIH',1258832000,C0
6051011,'Kementerian Sekretariat Negara',142000000,141999000,0,'CV. Pilar Cipta Solusi','PT.POSITIVE MANAGEMENT CONSULTING',113107500,C0
6055011,'LPSE Kementerian Keuangan Papua Barat',652000000,652000000,525000000,'Putera Karya Perkasa','CV. BAGINTA GRASINDO UTAMA',605550000,C0
